store,store_format,store_size_sqft,size_band
1,A,151315,Large
2,A,202307,Large
3,B,37392,Small
4,A,205863,Large
5,B,34875,Small
6,A,202505,Large
7,B,70713,Medium
8,A,155078,Large
9,B,125833,Medium
10,B,126512,Medium
11,A,207499,Large
12,B,112238,Medium
13,A,219622,Large
14,A,200898,Large
15,B,123737,Medium
16,B,57197,Small
17,B,93188,Medium
18,B,120653,Medium
19,A,203819,Large
20,A,203742,Large
21,B,140167,Medium
22,B,119557,Medium
23,B,114533,Medium
24,A,203819,Large
25,B,128107,Medium
26,A,152513,Large
27,A,204184,Large
28,A,206302,Large
29,B,93638,Medium
30,C,42988,Small
31,A,203750,Large
32,A,203007,Large
33,A,39690,Small
34,A,158114,Large
35,B,103681,Medium
36,A,39910,Small
37,C,39910,Small
38,C,39690,Small
39,A,184109,Large
40,A,155083,Large
41,A,196321,Large
42,C,39690,Small
43,C,41062,Small
44,C,39910,Small
45,B,118221,Medium
