store,dept,weeks,window_sales,baseline_sales,yoy_lift_dollars,window_sales_holiday,baseline_sales_holiday
1,1,52,1194555.23,1164646.5,29908.72999999999,99572.98999999999,93578.72
1,2,52,2438728.55,2366409.96,72318.59000000003,185725.09,172413.01
1,3,52,701993.63,661929.49,40064.14,48923.36,43179.479999999996
1,4,52,1989893.33,1888768.72,101124.60999999999,162789.76,155594.36
1,5,52,1345923.6,1327909.23,18014.370000000003,170654.1,158183.11
1,6,52,238277.4,257081.92,-18804.519999999997,35174.920000000006,36732.17
1,7,52,1294087.6099999999,1388899.53,-94811.92000000001,147927.82,134608.0
1,8,52,1951056.15,1810144.79,140911.36,142647.72999999998,137109.02
1,9,52,1586888.68,1403446.64,183442.03999999998,133327.54,118904.84999999999
1,10,52,1655158.24,1582757.51,72400.73,125641.09999999999,123945.09
1,11,52,1329284.38,1320024.56,9259.820000000007,101618.12,91228.92
1,12,52,539913.58,543193.76,-3280.1800000000057,37669.24,35102.41
1,13,52,2059285.49,1956387.45,102898.04000000004,158912.59,147382.27
1,14,52,845316.87,801045.3200000001,44271.54999999999,97624.23,89290.35
1,16,52,1211538.16,1127391.5,84146.65999999999,47316.75,41767.17
1,17,52,457043.29,479542.54,-22499.250000000007,42122.46,43044.89
1,18,40,375451.19,373278.44,2172.7499999999886,64680.28,69487.41
1,19,52,56827.0,59897.79,-3070.7900000000004,3909.8,4684.63
1,20,52,221969.38,196440.79,25528.59,19827.92,16579.59
1,21,52,406411.56,402706.48,3705.079999999997,34213.17,31522.33
1,22,52,419665.19,431134.51,-11469.320000000007,50714.13,47909.11
1,23,52,1139095.16,1135063.87,4031.290000000001,98594.8,90472.29000000001
1,24,52,325969.19,312733.65,13235.539999999995,28277.96,28385.43
1,25,52,533754.16,505335.78,28418.379999999997,38965.479999999996,36412.52
1,26,52,345376.02,339984.05,5391.970000000001,27858.38,28878.3
1,27,52,80332.37,70073.2,10259.17,8302.5,6153.58
1,28,52,27739.41,30995.26,-3255.8499999999995,2360.45,2713.42
1,29,52,238649.88,243272.18,-4622.299999999998,23616.559999999998,21306.27
1,30,52,155464.57,177796.73,-22332.160000000003,12235.17,12288.720000000001
1,31,52,111863.88,133149.38,-21285.5,7297.51,8991.369999999999
1,32,52,426533.19,439841.03,-13307.84,43717.03,39741.15
