store,dept,type_no,markdown_type,allocated_spend,attributed_lift,allocated_spend_holiday,attributed_lift_holiday
1,1,1,Markdown Type 1,5493.204149833829,21799.733446139016,464.3228865192383,338.7466791574737
1,1,2,Markdown Type 2,1867.6000765583628,5436.079571108713,804.0114667769172,3200.900354136651
1,1,3,Markdown Type 3,619.6780709377445,1403.7437537804046,543.6200866216791,2070.529507879353
1,1,4,Markdown Type 4,2551.4577353797467,13741.819799120167,255.8785564383363,57.853119661159695
1,1,5,Markdown Type 5,3659.9612533911854,-18119.826570148314,261.2659402744979,326.2403391653593
1,2,1,Markdown Type 1,12317.12113438856,30666.425463561056,708.6545274784064,3630.8685998968785
1,2,2,Markdown Type 2,3508.540867678759,9656.215778267391,1408.526484717281,6729.510968880363
1,2,3,Markdown Type 3,1459.5113266743426,-417.50222080390375,1314.7700285833416,-1335.5476629939037
1,2,4,Markdown Type 4,5773.9572623123695,11698.83908876508,386.2472428182988,2194.210341885309
1,2,5,Markdown Type 5,7589.487453067021,19782.42189021039,412.6704408160687,2093.0377523313477
1,3,1,Markdown Type 1,3654.324074942187,24598.310003726754,176.72471021110607,2811.3568922283457
1,3,2,Markdown Type 2,942.0463621610678,-1025.4484494878345,326.9857000116395,661.2178656634272
1,3,3,Markdown Type 3,340.99558900033384,-1172.5117235541188,308.2310407020538,-1334.3308668817915
1,3,4,Markdown Type 4,1850.7189164572771,12775.799348352695,98.86043998199175,2129.7826496764646
1,3,5,Markdown Type 5,2176.8392482111067,5524.010820962499,102.0785792016951,1475.853459313553
1,4,1,Markdown Type 1,9674.707817081166,46680.38161890235,599.3473098051717,2692.62706471219
1,4,2,Markdown Type 2,3102.145630034417,6253.333185699721,1402.2496311206803,746.6485785702322
1,4,3,Markdown Type 3,1447.6284702810858,698.8357570356615,1328.895530505196,382.13576201023506
1,4,4,Markdown Type 4,4467.891578988538,17530.513721926545,312.5803269479421,1965.5103487179
1,4,5,Markdown Type 5,6047.646715675579,28587.25571643571,359.3490533017161,1408.4782459894368
1,5,1,Markdown Type 1,6305.160242648377,2463.6188194210918,524.7328363523548,523.7706962705238
1,5,2,Markdown Type 2,2365.9466714935074,10600.728995531626,1244.2115495527637,2437.652698843723
1,5,3,Markdown Type 3,2114.138988807413,6000.63192352704,2011.0953705058007,9021.021259153902
1,5,4,Markdown Type 4,3052.395521126374,4665.413795228369,262.84507919914387,95.78671121221443
1,5,5,Markdown Type 5,4253.180668124418,-13768.283533708123,318.671850503952,392.7586345196354
1,6,1,Markdown Type 1,1094.9395273945404,-9586.661042169324,88.11991252675229,-393.61790617279985
1,6,2,Markdown Type 2,353.1408604008403,2005.661568160585,218.03733328360164,1118.848380700934
1,6,3,Markdown Type 3,600.0422707493943,-2703.532738823014,576.9950791280779,-1508.7296237439393
1,6,4,Markdown Type 4,464.3581251603246,-639.5419231329112,44.084242953923,-546.1197363636038
1,6,5,Markdown Type 5,739.7624849768761,-9066.485864035332,55.96735853775921,-227.63111442058798
1,7,1,Markdown Type 1,5794.91055896154,-37884.43052892014,354.7184111245242,2767.364529700079
1,7,2,Markdown Type 2,1905.1411710903928,-846.9960570939111,1015.9891422140579,8684.447342722056
1,7,3,Markdown Type 3,2229.59680681665,-8061.111984007583,2079.689721770434,-1390.9331363317733
1,7,4,Markdown Type 4,2416.9724049669026,233.18726845624462,164.51293054775996,1499.4125393345957
1,7,5,Markdown Type 5,4438.288647002823,-53298.94869843462,227.7509820626926,1759.5287245750383
1,8,1,Markdown Type 1,9406.604201459599,64627.33243174534,564.8661780793403,2738.7038975408614
1,8,2,Markdown Type 2,2934.3010051573733,3743.3116951472502,1255.8459072352969,187.13580763454337
1,8,3,Markdown Type 3,1096.4076089515952,-325.65168328746876,982.6544895139054,-816.0723813714958
1,8,4,Markdown Type 4,4357.646227156106,27027.446065048476,300.24225633700166,2031.323645686569
1,8,5,Markdown Type 5,5840.5676518585415,45062.02149134639,334.28629642342077,1397.6190305095245
1,9,1,Markdown Type 1,6791.15501011092,86704.70926351626,361.16474680702,5500.528867951178
1,9,2,Markdown Type 2,1802.8311106659637,12255.538372841465,840.6076369129904,4388.476627090908
1,9,3,Markdown Type 3,1359.7484051239092,-1478.4282035983347,1276.4941228541495,-2168.0109767933054
1,9,4,Markdown Type 4,2989.653911430257,32222.35857546489,193.9711479316206,3754.5462559288735
1,9,5,Markdown Type 5,4263.17521399919,51856.50199177571,221.94256565016622,2947.149225822346
1,10,1,Markdown Type 1,8273.760395597808,34211.81399701884,522.3776009679844,596.5343558571286
1,10,2,Markdown Type 2,2349.7032384839727,7935.883545076317,1019.0803042243552,702.0813353739846
1,10,3,Markdown Type 3,986.0940349423299,580.2648337571516,895.3491038041857,-203.95335659681615
1,10,4,Markdown Type 4,3914.3360450334285,11101.673897854651,285.89992016441363,302.75918339811943
