store,type_no,markdown_type,total_spend,active_weeks,total_spend_holiday,active_weeks_holiday,attributed_lift
1,1,Markdown Type 1,412629.08,51,25302.15,4,1494928.760952504
1,2,Markdown Type 2,123535.25,42,53072.35,4,365397.6000300909
1,3,Markdown Type 3,61270.020000000004,50,56218.450000000004,4,76977.311170031
1,4,Markdown Type 4,191050.32,51,13583.849999999999,4,634398.6020519742
1,5,Markdown Type 5,255951.4,51,14913.91,4,980827.3957953998
2,1,Markdown Type 1,543032.65,51,33410.9,4,1228820.8047593716
2,2,Markdown Type 2,222095.54,42,99409.64,4,188770.31517721398
2,3,Markdown Type 3,85406.22,50,77745.83,4,-77165.9408314576
2,4,Markdown Type 4,241675.93,51,18574.2,4,546249.6671883984
2,5,Markdown Type 5,334628.7,51,17470.52,4,656135.1537064739
3,1,Markdown Type 1,157206.95,51,12445.199999999999,4,876019.0743285603
3,2,Markdown Type 2,41260.35,39,15980.41,4,83140.3590445711
3,3,Markdown Type 3,40123.409999999996,44,37689.909999999996,4,-23638.734146551113
3,4,Markdown Type 4,45147.88,49,2646.17,3,208985.00648939886
3,5,Markdown Type 5,64438.08,51,4417.2,4,318198.0142840209
4,1,Markdown Type 1,476937.49,51,24514.82,4,2113199.1688435683
4,2,Markdown Type 2,196180.22,42,79776.1,4,708801.0903946564
4,3,Markdown Type 3,95588.14,49,83917.53,4,276391.95854143205
4,4,Markdown Type 4,261706.83,50,20907.96,4,930706.2658632948
4,5,Markdown Type 5,346183.89,51,32897.16,4,1749415.5963570483
5,1,Markdown Type 1,153843.36,51,9082.24,4,526367.7848922552
5,2,Markdown Type 2,41516.14,36,19814.46,4,103930.44858641864
5,3,Markdown Type 3,31680.620000000003,43,29417.13,4,23076.89960181011
5,4,Markdown Type 4,56345.89,49,4821.97,4,149161.10118726024
5,5,Markdown Type 5,130020.26,51,7342.1,4,455177.39573225577
6,1,Markdown Type 1,429845.34,51,33267.880000000005,4,1135374.0927410733
6,2,Markdown Type 2,177227.32,44,88795.76000000001,4,277587.1983108446
6,3,Markdown Type 3,92381.11,49,83612.54,4,-22855.046424263302
6,4,Markdown Type 4,189693.33,51,12846.37,4,475738.78967144975
6,5,Markdown Type 5,287217.53,51,14052.83,4,705688.4557008954
7,1,Markdown Type 1,326435.27,51,20232.87,4,658335.8665696805
7,2,Markdown Type 2,63039.85,37,20124.37,3,224651.4652572168
7,3,Markdown Type 3,44073.649999999994,49,41612.659999999996,4,120878.68441992042
7,4,Markdown Type 4,87359.26,51,5828.78,4,119566.90652646145
7,5,Markdown Type 5,181363.47,51,10508.94,4,388982.8372267208
8,1,Markdown Type 1,361245.77999999997,51,25019.92,4,637342.4297103839
8,2,Markdown Type 2,113464.6,42,40010.47,4,100733.87873752433
8,3,Markdown Type 3,51773.8,49,46194.19,4,-37672.713988995034
8,4,Markdown Type 4,86549.72,50,7995.98,4,122122.85756020069
8,5,Markdown Type 5,293947.76,51,10191.6,4,307069.6779808862
9,1,Markdown Type 1,164015.18,51,12735.09,4,588231.8125046793
9,2,Markdown Type 2,39282.45,31,16076.8,2,135286.55601582254
9,3,Markdown Type 3,46945.1,42,44129.649999999994,4,46104.029779768076
9,4,Markdown Type 4,51118.049999999996,49,5829.13,4,169705.88803646152
9,5,Markdown Type 5,188893.81,51,17865.44,4,610366.6536632685
10,1,Markdown Type 1,497532.04,51,28114.179999999997,4,219809.07001591797
10,2,Markdown Type 2,211452.75999999998,33,105729.92,4,251426.83280319415
10,3,Markdown Type 3,154483.08,47,141924.90999999997,4,-128033.8064890698
10,4,Markdown Type 4,222533.75,51,11989.449999999999,4,149016.2183178825
10,5,Markdown Type 5,276186.92,51,13018.21,4,-261719.13464792498
11,1,Markdown Type 1,452859.91,51,31794.989999999998,4,975278.8512316111
11,2,Markdown Type 2,142901.38,43,62752.51,4,401157.1022490088
11,3,Markdown Type 3,79826.65999999999,50,71448.09999999999,4,66555.15980720376
11,4,Markdown Type 4,181680.55,49,12249.04,4,354478.5850979865
11,5,Markdown Type 5,283991.75,51,12106.92,4,492054.5416141897
12,1,Markdown Type 1,577680.84,51,50294.9,4,996263.2803466114
12,2,Markdown Type 2,162995.28,39,61448.23,4,383279.9293448088
12,3,Markdown Type 3,69823.84,48,63264.75,4,-8738.767663146482
12,4,Markdown Type 4,257727.18,51,15117.43,4,375586.08297774044
12,5,Markdown Type 5,292062.85,51,15760.79,4,350217.3049939858
13,1,Markdown Type 1,567637.29,51,33969.86,4,1850671.6624969456
13,2,Markdown Type 2,262682.67,43,97981.51,4,703360.5701848895
13,3,Markdown Type 3,143396.07,50,109686.1,4,71123.22014880032
13,4,Markdown Type 4,255567.35,51,25239.73,4,720111.9077839289
13,5,Markdown Type 5,370120.44,51,21466.99,4,1198818.7993854356
14,1,Markdown Type 1,591248.84,51,31873.640000000003,4,-3901019.821816065
14,2,Markdown Type 2,222173.72,40,77168.98000000001,4,110136.2312910232
14,3,Markdown Type 3,104851.97,50,90035.79,4,-400202.3332842488
14,4,Markdown Type 4,215649.67,51,15890.24,4,-1449765.3175831125
14,5,Markdown Type 5,295312.42,51,16439.95,4,-2454514.058607597
15,1,Markdown Type 1,273683.32,51,16614.04,4,-329595.72261730494
15,2,Markdown Type 2,102346.32,39,36717.55,4,-14147.160200162736
15,3,Markdown Type 3,76943.73000000001,46,67211.34,4,-169606.84689799935
15,4,Markdown Type 4,106226.02,51,11763.779999999999,4,-119770.15404780311
15,5,Markdown Type 5,134336.89,51,11959.74,4,-247214.20623672992
